97.706122448,New Point
100.595918367,New Point
103.493877551,New Point
106.383673469,New Point
109.297959183,New Point
112.155102040,New Point
115.069387755,New Point
117.968979591,New Point
120.848253968,New Point
123.750748299,New Point
126.624217687,New Point
129.515102040,New Point
132.411791383,New Point
135.325895691,New Point
138.164535147,New Point
141.020589569,New Point
143.928888888,New Point
164.159274376,New Point
167.044353741,New Point
169.923628117,New Point
172.820317460,New Point
175.687981859,New Point
178.590476190,New Point
184.372244897,New Point
187.257324263,New Point
190.113378684,New Point
193.027482993,New Point
195.929977324,New Point
198.803446712,New Point
201.700136054,New Point
204.579410430,New Point
207.412244897,New Point
210.314739229,New Point
213.263673469,New Point
216.131337868,New Point
219.010612244,New Point
221.907301587,New Point
224.792380952,New Point
230.562539682,New Point
233.470839002,New Point
236.373333333,New Point
239.148117913,New Point
242.120272108,New Point
245.005351473,New Point
247.896235827,New Point
250.775510204,New Point
253.678004535,New Point
256.568888888,New Point
259.436553287,New Point
262.257777777,New Point
265.247346938,New Point
268.080181405,New Point
271.000090702,New Point
273.896780045,New Point
276.758639455,New Point
279.655328798,New Point
282.557823129,New Point
285.448707482,New Point
