40.987755102,New Point
43.316326530,New Point
45.771428571,New Point
48.351020408,New Point
50.771428571,New Point
53.206122448,New Point
55.655102040,New Point
58.146938775,New Point
65.465306122,New Point
67.938775510,New Point
70.361224489,New Point
72.826530612,New Point
75.255102040,New Point
77.700000000,New Point
80.181632653,New Point
85.077551020,New Point
87.551020408,New Point
89.973469387,New Point
92.387755102,New Point
94.881632653,New Point
97.334693877,New Point
99.761224489,New Point
104.666848072,New Point
107.125260770,New Point
109.566258503,New Point
112.018866213,New Point
114.468571428,New Point
119.344761904,New Point
121.806077097,New Point
124.264489795,New Point
126.702585034,New Point
129.169705215,New Point
134.051700680,New Point
138.945306122,New Point
143.865034013,New Point
146.335056689,New Point
148.755736961,New Point
153.655147392,New Point
156.110657596,New Point
158.554557823,New Point
160.992653061,New Point
163.477188208,New Point
165.929795918,New Point
168.350476190,New Point
173.244081632,New Point
175.705396825,New Point
178.189931972,New Point
183.037097505,New Point
185.504217687,New Point
187.945215419,New Point
192.827210884,New Point
195.291428571,New Point
197.749841269,New Point
202.652154195,New Point
205.130884353,New Point
212.442267573,New Point
214.883265306,New Point
217.312653061,New Point
222.232380952,New Point
227.155011337,New Point
229.447981859,New Point
231.749659863,New Point
234.486712018,New Point
236.924807256,New Point
239.383219954,New Point
241.803900226,New Point
244.311655328,New Point
246.752653061,New Point
246.912290249,New Point
249.196553287,New Point
251.640453514,New Point
254.107573696,New Point
261.416054421,New Point
263.894784580,New Point
266.315464852,New Point
268.756462585,New Point
